Category	Term	PValue	Description	Count	%	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0004842	0.001326345	ubiquitin-protein transferase activity	16	3.96039604	"Q80VI1, Q0D2K2, D2GXS7, O62640, Q13489, Q5RGB8, Q80T74, Q8TDB6, D3YYI7, Q9LY87, Q5BKL8, P68907, Q9C026, E7FAM5, O95714, Q9Y3C5"	332	616	33537	2.623767798	0.457653781	0.457653781	1.871688461
GOTERM_MF_DIRECT	GO:0005509	0.002808378	calcium ion binding	22	5.445544554	"Q8N987, Q8NDA2, Q6V0K7, A2ASS6, P98157, Q501P1, Q8N2E2, Q96RW7, P0C6B8, Q6R8J2, Q06AT0, P55281, A8K855, Q3LGD4, E9Q7P9, B3A0Q5, Q6DFV8, Q05793, O88281, Q32L26, P98160, Q5R8Z6"	332	1084	33537	2.050121149	0.726508203	0.477035568	3.924522323
GOTERM_MF_DIRECT	GO:0005515	0.003343967	protein binding	66	16.33663366	"O88513, Q01082, Q9VZZ9, P23469, Q9WTK7, P97500, P40241, Q9CWY4, Q86TM6, Q9SUH5, Q9BXX0, O82345, Q15075, Q05793, P34709, P98160, Q9HCK4, Q80VI1, Q6V0K7, A2ASS6, P30622, Q8R0W1, P62491, Q5ND28, P26599, Q60737, P15498, F4HRT5, P49760, P20749, P24534, Q4ZJM9, Q15459, P16356, Q15262, Q60787, Q9UGM3, B2RX88, Q9W062, Q640R3, P55040, Q9VCU9, O75533, Q13489, Q9UMS6, Q9BVI0, Q13492, Q8C6L5, Q9C6W5, Q92546, Q9C026, Q8K2Y9, O95714, Q9Y3C5, O75382, Q9Y091, P51810, Q80TZ9, Q9U3P2, Q96AJ9, Q8TDB6, Q61037, Q96C10, Q63184, Q8VHI4, P07550"	332	4733	33537	1.408619053	0.786507187	0.40233051	4.656517166
GOTERM_MF_DIRECT	GO:0004519	0.014168007	endonuclease activity	7	1.732673267	"P00639, P54308, Q99315, P0CT41, Q9VE51, P24081, P0CT37"	332	198	33537	3.571239503	0.998609597	0.806898717	18.3833579
GOTERM_MF_DIRECT	GO:0004190	0.019210929	aspartic-type endopeptidase activity	5	1.237623762	"P70677, P27822, Q99315, P0CT41, P0CT37"	332	103	33537	4.903643701	0.999869275	0.832786265	24.12980436
GOTERM_MF_DIRECT	GO:0005516	0.022303109	calmodulin binding	9	2.227722772	"Q01082, A2ASS6, P55040, O82345, Q15075, P70569, Q8NEV4, P70248, Q5ZKI0"	332	346	33537	2.62755937	0.99996951	0.823250308	27.46488464
GOTERM_MF_DIRECT	GO:0008270	0.023893025	zinc ion binding	38	9.405940594	"O65639, Q16974, D2GXS7, Q6GQJ2, O62640, Q8BXQ6, Q13489, Q8I480, P97500, Q8NB78, Q9UBW7, Q9LY87, Q9BVI0, Q86TM6, Q5BKL8, P00732, P68907, A8MT70, Q9C026, Q99315, Q15075, O95714, P46630, Q9Y3C5, O75382, Q80VI1, Q80TZ9, P30622, Q9LG11, Q09738, Q8TDB6, Q96C10, Q8R1J3, Q6F1D3, Q5E9E1, E7FAM5, Q6GP70, Q6CME1"	332	2676	33537	1.434444054	0.999985602	0.796609892	29.12613758
GOTERM_MF_DIRECT	GO:0004672	0.029739866	protein kinase activity	14	3.465346535	"Q9FL63, A2ASS6, Q60737, Q811L6, O45539, P18293, Q9Z1J2, P49760, Q9WTK7, Q8NEV4, P49657, F1M5M3, Q63184, O01761"	332	729	33537	1.93993257	0.999999097	0.824437481	34.93591243
GOTERM_MF_DIRECT	GO:0071889	0.031006723	14-3-3 protein binding	3	0.742574257	"Q95KI1, Q9UMS6, Q61037"	332	28	33537	10.82304217	0.999999506	0.800786335	36.13490701
GOTERM_MF_DIRECT	GO:0003839	0.048386767	gamma-glutamylcyclotransferase activity	2	0.495049505	"Q8WUX2, B3STU3"	332	5	33537	40.4060241	1	0.898368629	50.64114174
